# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1962688765
# chain_id=3
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,scale,boltzman_shift
-1.14416e+48,1,3.09562e-26,3,7,0,3.88877e+48,0.229994,0.620853,0.149152,3.94772,55.0014
-3.14581e+47,1,5.82155e-26,4,15,0,1.07884e+48,0.229994,0.620853,0.149152,3.94772,55.7532
-8.65577e+46,1,1.09496e-25,4,15,0,2.96631e+47,0.229994,0.620854,0.149152,3.94772,56.5046
-2.4024e+46,1,2.05167e-25,2,3,0,8.16515e+46,0.229994,0.620854,0.149152,3.94772,57.2509
-6.76038e+45,1,3.81957e-25,2,3,0,2.2677e+46,0.229994,0.620854,0.149152,3.94772,57.9892
-1.93523e+45,1,7.05276e-25,3,7,0,6.38646e+45,0.229994,0.620854,0.149152,3.94772,58.7175
-5.64749e+44,1,1.29018e-24,2,3,0,1.82986e+45,0.229994,0.620854,0.149152,3.94772,59.4346
-3.9647e+44,1,2.33662e-24,1,1,0,5.41332e+44,0.229994,0.620854,0.149152,3.94772,59.6406
-1.77232e+44,1,4.18794e-24,2,3,0,3.44487e+44,0.229994,0.620854,0.149152,3.94772,60.1093
-5.6022e+43,1,7.42704e-24,1,1,0,1.44394e+44,0.229994,0.620854,0.149152,3.94772,60.7799
-1.78099e+43,1,1.30325e-23,1,1,0,4.56823e+43,0.229994,0.620854,0.149152,3.94772,61.4472
-5.79657e+42,1,2.26293e-23,1,1,0,1.45765e+43,0.229993,0.620854,0.149152,3.94772,62.1008
-1.92598e+42,1,3.88884e-23,2,3,0,4.76003e+42,0.229993,0.620854,0.149152,3.94772,62.7423
-6.53182e+41,1,6.61562e-23,1,1,0,1.58695e+42,0.229993,0.620855,0.149152,3.94772,63.3719
-2.25984e+41,1,1.11437e-22,1,1,0,5.40027e+41,0.229993,0.620855,0.149152,3.94772,63.9899
-7.97155e+40,1,1.85918e-22,1,1,0,1.87465e+41,0.229993,0.620855,0.149152,3.94772,64.5966
