# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.05300    38328252.00000000 23423598.00000000 59925660.00000000 26401.57812500  1989334.00000000 1554743.50000000 
0.05400    37618124.00000000 22992584.00000000 58819448.00000000 25820.38476562  1948090.12500000 1522581.75000000 
0.05500    36919692.00000000 22568208.00000000 57730876.00000000 25248.53320312  1907505.25000000 1490946.37500000 
0.05600    36233168.00000000 22151312.00000000 56660684.00000000 24686.62890625  1867619.12500000 1459845.50000000 
0.05700    35558680.00000000 21741930.00000000 55609864.00000000 24135.04101562  1828464.75000000 1429304.00000000 
0.05800    34897444.00000000 21340196.00000000 54579060.00000000 23594.01953125  1790047.50000000 1399353.50000000 
0.05900    34249372.00000000 20946704.00000000 53569164.00000000 23063.85156250  1752414.25000000 1370019.25000000 
0.06000    33615028.00000000 20561632.00000000 52580740.00000000 22545.24414062  1715580.62500000 1341297.50000000 
0.06100    32995072.00000000 20185318.00000000 51614160.00000000 22037.92382812  1679566.25000000 1313214.00000000 
0.06200    32389320.00000000 19817310.00000000 50670284.00000000 21542.50585938  1644388.50000000 1285786.00000000 
0.06300    31798570.00000000 19458724.00000000 49749580.00000000 21058.90039062  1610070.00000000 1259024.75000000 
0.06400    31222518.00000000 19109128.00000000 48851476.00000000 20587.31250000  1576599.25000000 1232942.12500000 
0.06500    30661732.00000000 18768828.00000000 47978008.00000000 20128.11132812  1544016.75000000 1207531.37500000 
0.06600    30116358.00000000 18437820.00000000 47128236.00000000 19680.99609375  1512308.75000000 1182817.62500000 
0.06700    29586386.00000000 18116258.00000000 46302632.00000000 19246.56445312  1481491.62500000 1158804.25000000 
0.06800    29071836.00000000 17804336.00000000 45501192.00000000 18824.09375000  1451566.62500000 1135467.25000000 
0.06900    28573208.00000000 17501820.00000000 44724216.00000000 18414.34765625  1422536.62500000 1112850.25000000 
0.07000    28089906.00000000 17208806.00000000 43971712.00000000 18016.61914062  1394394.12500000 1090921.62500000 
0.07100    27622470.00000000 16925348.00000000 43243816.00000000 17631.35937500  1367136.87500000 1069684.50000000 
0.07200    27170222.00000000 16651335.00000000 42540016.00000000 17258.02539062  1340772.12500000 1049127.87500000 
0.07300    26733710.00000000 16386886.00000000 41860328.00000000 16897.06835938  1315281.00000000 1029265.25000000 
0.07400    26312524.00000000 16131461.00000000 41204560.00000000 16547.90039062  1290652.25000000 1010075.00000000 
0.07500    25906256.00000000 15885721.00000000 40572372.00000000 16210.25781250  1266878.12500000 991563.56250000 
0.07600    25514990.00000000 15649027.00000000 39963616.00000000 15884.28222656  1243951.75000000 973706.68750000 
0.07700    25138370.00000000 15421202.00000000 39377900.00000000 15569.71777344  1221842.75000000 956495.87500000 
0.07800    24776198.00000000 15202195.00000000 38814732.00000000 15266.15136719  1200557.37500000 939923.62500000 
0.07900    24428310.00000000 14991942.00000000 38273628.00000000 14973.48925781  1180062.87500000 923968.93750000 
0.08000    24094272.00000000 14790215.00000000 37754340.00000000 14691.33789062  1160354.00000000 908625.75000000 
0.08100    23773906.00000000 14596616.00000000 37256420.00000000 14419.39453125  1141396.12500000 893876.56250000 
0.08200    23466542.00000000 14411242.00000000 36778740.00000000 14157.56152344  1123166.37500000 879693.81250000 
0.08300    23171942.00000000 14233729.00000000 36321116.00000000 13905.25000000  1105653.75000000 866077.50000000 
0.08400    22889662.00000000 14063692.00000000 35883300.00000000 13662.29101562  1088837.00000000 852997.25000000 
0.08500    22619550.00000000 13901111.00000000 35464112.00000000 13428.39941406  1072688.00000000 840440.68750000 
0.08600    22360884.00000000 13745590.00000000 35062680.00000000 13203.17968750  1057163.00000000 828383.75000000 
0.08700    22113232.00000000 13596892.00000000 34679116.00000000 12986.22558594  1042274.43750000 816808.25000000 
0.08800    21876316.00000000 13454689.00000000 34311816.00000000 12777.12304688  1027956.25000000 805696.00000000 
0.08900    21649566.00000000 13318794.00000000 33960892.00000000 12575.63769531  1014212.00000000 795022.43750000 
0.09000    21432590.00000000 13188908.00000000 33624972.00000000 12381.35644531  1001002.12500000 784770.37500000 
0.09100    21224668.00000000 13064627.00000000 33303688.00000000 12193.94921875  988296.56250000 774910.06250000 
0.09200    21025688.00000000 12945704.00000000 32995598.00000000 12013.03222656  976069.31250000 765431.06250000 
0.09300    20834852.00000000 12831902.00000000 32700936.00000000 11838.09765625  964307.31250000 756309.75000000 
0.09400    20651684.00000000 12722731.00000000 32418176.00000000 11668.95898438  952955.56250000 747518.12500000 
0.09500    20475676.00000000 12618121.00000000 32146870.00000000 11505.11718750  942009.18750000 739034.25000000 
0.09600    20306506.00000000 12517678.00000000 31886052.00000000 11346.37109375  931424.31250000 730842.43750000 
0.09700    20143682.00000000 12421042.00000000 31635132.00000000 11192.22363281  921200.06250000 722922.06250000 
