# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2071558051
# chain_id=0
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-1730.91,0.999977,0.000238634,6,63,0,1732,0.109234,0.197457,0.0961964,0.251612,0.345501,3.51393
-1727.73,0.895281,0.000390778,6,63,0,1731.98,0.110668,0.196827,0.0952913,0.252069,0.345146,3.51226
-1692.28,0.504166,0.000507951,7,127,0,1731.44,0.111145,0.189772,0.0887567,0.28298,0.327346,3.50411
-1690.06,0.987174,0.000285216,7,127,0,1693.29,0.111925,0.191416,0.0879374,0.284271,0.324452,3.50267
-1684.13,0.940087,0.000449953,7,127,0,1691.42,0.112148,0.186749,0.0860784,0.29052,0.324505,3.49969
-1684.13,0.000177387,0.00063919,1,3,0,1687.32,0.112148,0.186749,0.0860784,0.29052,0.324505,3.49969
-1660.34,0.995315,0.000125288,9,511,0,1686.27,0.122737,0.183065,0.0832649,0.306822,0.304112,3.49199
-1656.63,0.955465,0.000200288,8,255,0,1662.75,0.126333,0.175777,0.0830847,0.309837,0.304968,3.48801
-1656.45,0.880015,0.000293159,8,255,0,1659.94,0.12645,0.175552,0.0828518,0.311279,0.303866,3.48912
-1651.56,0.980111,0.000365493,6,127,0,1657.2,0.128352,0.17807,0.0819293,0.31327,0.298378,3.48504
-1645.2,0.985704,0.000558525,6,95,0,1652.45,0.131147,0.174665,0.0803799,0.319984,0.293824,3.48286
-1645.2,0.00298099,0.000859356,1,3,1,1649.27,0.131147,0.174665,0.0803799,0.319984,0.293824,3.48286
-1643.99,0.98408,0.00017767,8,255,0,1645.78,0.131638,0.174082,0.0796691,0.322097,0.292514,3.48201
-1626.96,0.96471,0.000272731,10,1023,0,1646.16,0.150258,0.156739,0.0616522,0.394728,0.236623,3.45151
-1619.63,0.992956,0.000400783,9,511,0,1627.81,0.144164,0.141048,0.0906521,0.388028,0.236108,3.50147
-1619.63,0.0238472,0.000620788,1,3,0,1622.87,0.144164,0.141048,0.0906521,0.388028,0.236108,3.50147
-1620.11,0.996945,0.000138156,10,1023,0,1620.77,0.146117,0.140812,0.0874044,0.384588,0.241078,3.49306
-1619.85,0.928682,0.000215799,10,1023,0,1622.34,0.154252,0.13986,0.0868874,0.376887,0.242114,3.48529
-1616.29,0.830534,0.000293168,10,1023,0,1622.93,0.171083,0.120283,0.0997885,0.387868,0.220977,3.49582
-1611.2,0.932972,0.000327265,10,1023,0,1619.36,0.218248,0.0958308,0.128234,0.356444,0.201243,3.50879
-1609.67,0.973359,0.000445962,10,1023,0,1613.35,0.188112,0.0733509,0.144996,0.42652,0.167022,3.5702
-1609.67,0.105991,0.000655459,2,5,1,1611.43,0.188112,0.0733509,0.144996,0.42652,0.167022,3.5702
-1611.48,1,0.000178239,8,255,0,1612.11,0.185604,0.0741532,0.146094,0.428882,0.165266,3.5749
-1608.93,0.93078,0.000275879,7,127,0,1612.85,0.185863,0.072865,0.144577,0.429765,0.16693,3.57189
-1610.41,0.703541,0.000372215,9,1023,0,1612.46,0.188912,0.0733207,0.154926,0.400771,0.18207,3.58356
-1608.46,0.874321,0.000324091,9,511,0,1611.96,0.196128,0.0715998,0.145032,0.418178,0.169062,3.56372
-1612.79,0.952886,0.000391156,10,1023,0,1615.59,0.238143,0.066902,0.146731,0.356268,0.191956,3.5225
-1613.02,0.214242,0.000546967,8,447,0,1615.33,0.258454,0.0692993,0.15468,0.337274,0.180293,3.52224
-1614.66,0.946477,0.000188903,10,1023,0,1617.56,0.278293,0.0577517,0.171044,0.311701,0.18121,3.53303
-1617.58,0.978157,0.000260952,9,511,0,1618.36,0.298374,0.057294,0.146696,0.311877,0.185759,3.47504
-1611.05,0.722002,0.000381366,8,255,0,1620.93,0.275539,0.0621713,0.162449,0.314196,0.185645,3.51809
-1609.65,0.903012,0.000344514,7,207,0,1612.27,0.279403,0.0616556,0.159305,0.314008,0.185629,3.51039
-1609.34,0.963651,0.000435829,9,639,0,1612.3,0.260779,0.0555184,0.166492,0.343304,0.173907,3.54156
-1609.34,3.29508e-05,0.000615417,1,3,0,1612.22,0.260779,0.0555184,0.166492,0.343304,0.173907,3.54156
-1609.42,0.988662,0.000146988,9,583,0,1612.03,0.253089,0.0552195,0.169047,0.340302,0.182343,3.55075
-1611.64,0.784258,0.00021758,10,1023,0,1615.61,0.294344,0.0449845,0.167488,0.324677,0.168506,3.51691
