# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity 
0.26700    2750280.00000000 1756196.62500000 4373255.00000000 2535.59570312   57442.86718750  39265.47265625  
0.26800    2718567.25000000 1736370.00000000 4323289.50000000 2518.14575195   57319.26171875  39287.12109375  
0.26900    2686522.50000000 1716338.00000000 4272707.50000000 2500.94824219   57167.38671875  39281.03125000  
0.27000    2654247.25000000 1696185.87500000 4221847.50000000 2484.00488281   56992.44531250  39250.32031250  
0.27100    2621637.50000000 1675814.37500000 4170362.75000000 2467.30224609   56793.44921875  39194.43359375  
0.27200    2588871.00000000 1655335.62500000 4118689.75000000 2450.97436523   56579.85546875  39123.19531250  
0.27300    2555680.50000000 1634601.25000000 4066340.50000000 2434.90527344   56343.41796875  39027.96093750  
0.27400    2522086.00000000 1613618.25000000 4013315.00000000 2419.06616211   56088.46484375  38911.44531250  
0.27500    2488471.75000000 1592550.12500000 3960217.00000000 2403.62353516   55825.13281250  38784.40625000  
0.27600    2454398.50000000 1571207.00000000 3906351.75000000 2388.41748047   55545.30468750  38638.43750000  
0.27700    2420200.00000000 1549772.87500000 3852326.00000000 2373.58959961   55260.79296875  38483.71484375  
0.27800    2385744.50000000 1528142.62500000 3797731.75000000 2359.05444336   54968.08593750  38316.29687500  
0.27900    2351102.00000000 1506351.50000000 3742871.25000000 2344.82153320   54668.00390625  38139.37500000  
0.28000    2316319.00000000 1484406.50000000 3687709.50000000 2330.92602539   54365.21093750  37955.31250000  
0.28100    2281347.00000000 1462329.37500000 3632142.50000000 2317.30786133   54060.15625000  37764.12890625  
0.28200    2246328.25000000 1440191.87500000 3576543.25000000 2304.04077148   53758.21875000  37570.48046875  
0.28300    2211174.25000000 1417910.87500000 3520623.25000000 2291.02880859   53453.37500000  37371.89062500  
0.28400    2175993.25000000 1395558.12500000 3464546.00000000 2278.32421875   53153.85156250  37171.46484375  
0.28500    2140817.75000000 1373167.75000000 3408499.50000000 2265.89672852   52859.78515625  36971.70703125  
0.28600    2105654.75000000 1350701.75000000 3352290.75000000 2253.73461914   52569.28906250  36771.54687500  
0.28700    2070526.75000000 1328244.50000000 3296171.25000000 2241.81811523   52286.14062500  36573.49609375  
0.28800    2035498.87500000 1305772.62500000 3240069.75000000 2230.14868164   52012.52343750  36378.50781250  
0.28900    2000631.25000000 1283354.12500000 3184201.50000000 2218.71850586   51746.54296875  36188.33984375  
0.29000    1965893.50000000 1260975.75000000 3128434.75000000 2207.52514648   51490.85937500  36002.76171875  
0.29100    1931400.00000000 1238684.25000000 3073011.25000000 2196.52905273   51247.37109375  35823.24609375  
0.29200    1897131.75000000 1216480.00000000 3017857.00000000 2185.72753906   51015.30468750  35650.96484375  
0.29300    1863162.12500000 1194426.25000000 2963135.50000000 2175.12426758   50796.11718750  35486.40234375  
0.29400    1829430.37500000 1172455.75000000 2908667.25000000 2164.64794922   50587.76953125  35327.51171875  
0.29500    1796147.25000000 1150725.12500000 2854901.75000000 2154.34692383   50394.65234375  35181.05078125  
0.29600    1763168.50000000 1129156.75000000 2801557.75000000 2144.17041016   50214.06250000  35041.33984375  
0.29700    1730600.62500000 1107763.75000000 2748758.00000000 2134.10986328   50046.42578125  34910.43359375  
0.29800    1698519.62500000 1086635.62500000 2696743.00000000 2124.16308594   49894.10937500  34791.35156250  
0.29900    1666934.25000000 1065788.50000000 2645390.50000000 2114.30566406   49757.91406250  34683.17968750  
0.30000    1635802.62500000 1045174.87500000 2594737.25000000 2104.51074219   49632.74218750  34582.88671875  
0.30100    1605243.87500000 1024877.00000000 2544965.25000000 2094.79833984   49523.44531250  34495.66406250  
0.30200    1575251.25000000 1004892.25000000 2495976.00000000 2085.13159180   49427.74218750  34417.67968750  
0.30300    1545865.12500000 985272.87500000 2447913.50000000 2075.49072266   49347.44921875  34351.14453125  
0.30400    1517100.12500000 966009.43750000 2400841.00000000 2065.89208984   49280.78125000  34295.72265625  
0.30500    1488894.62500000 947065.75000000 2354607.50000000 2056.25463867   49224.37500000  34249.36718750  
0.30600    1461379.62500000 928506.93750000 2309376.75000000 2046.63500977   49181.59765625  34214.04687500  
0.30700    1434616.50000000 910411.00000000 2265366.75000000 2037.04516602   49155.57421875  34190.87109375  
0.30800    1408457.87500000 892667.37500000 2222279.25000000 2027.37939453   49138.08593750  34175.01953125  
0.30900    1383116.62500000 875390.00000000 2180366.00000000 2017.71142578   49133.91406250  34170.62890625  
0.31000    1358423.25000000 858537.81250000 2139591.25000000 2007.97753906   49140.57812500  34176.08203125  
0.31100    1334505.62500000 842129.93750000 2099948.00000000 1998.22436523   49158.93750000  34190.64843750  
0.31200    1311329.75000000 826174.25000000 2061462.87500000 1988.38159180   49187.02734375  34213.20312500  
0.31300    1288928.50000000 810695.25000000 2024206.50000000 1978.48132324   49224.01562500  34244.88281250  
0.31400    1267318.50000000 795700.06250000 1988214.87500000 1968.52624512   49271.57812500  34284.30468750  
0.31500    1246447.50000000 781159.43750000 1953332.12500000 1958.46337891   49326.21093750  34330.83984375  
0.31600    1226394.62500000 767108.68750000 1919738.62500000 1948.32629395   49388.71484375  34385.35546875  
0.31700    1207143.37500000 753551.50000000 1887397.87500000 1938.10083008   49460.06640625  34446.74609375  
0.31800    1188591.12500000 740447.50000000 1856184.50000000 1927.76684570   49534.23046875  34511.65234375  
0.31900    1170963.87500000 727893.75000000 1826406.50000000 1917.37988281   49619.28906250  34585.97265625  
0.32000    1154024.37500000 715785.18750000 1797745.50000000 1906.86022949   49706.67968750  34662.74218750  
0.32100    1137905.50000000 704178.06250000 1770356.50000000 1896.23535156   49798.83593750  34744.77734375  
0.32200    1122605.87500000 693082.68750000 1744236.75000000 1885.51965332   49896.67968750  34831.34375000  
0.32300    1107973.12500000 682414.12500000 1719256.00000000 1874.66967773   49995.73828125  34920.36718750  
0.32400    1094143.75000000 672244.93750000 1695483.75000000 1863.73339844   50098.00000000  35011.20703125  
0.32500    1081057.00000000 662535.81250000 1672892.25000000 1852.66503906   50200.71093750  35105.44921875  
0.32600    1068707.75000000 653290.81250000 1651478.12500000 1841.49267578   50305.04687500  35200.55859375  
0.32700    1057113.00000000 644522.18750000 1631279.12500000 1830.22253418   50412.25390625  35297.85937500  
0.32800    1046274.93750000 636229.93750000 1612240.87500000 1818.85229492   50520.28125000  35396.98046875  
0.32900    1036093.25000000 628342.18750000 1594255.62500000 1807.37231445   50626.75781250  35495.05468750  
0.33000    1026616.50000000 620910.81250000 1577411.12500000 1795.78356934   50732.10546875  35592.58203125  
0.33100    1017751.50000000 613856.12500000 1561504.50000000 1784.07946777   50835.30859375  35689.17187500  
0.33200    1009682.25000000 607287.06250000 1546863.37500000 1772.30322266   50940.10546875  35786.68750000  
0.33300    1002181.93750000 601071.75000000 1533077.75000000 1760.40979004   51039.63281250  35880.67968750  
0.33400    995337.12500000 595285.75000000 1520364.75000000 1748.44384766   51139.55859375  35974.31640625  
0.33500    989041.12500000 589833.81250000 1508567.50000000 1736.37170410   51233.91015625  36063.99218750  
0.33600    983358.62500000 584752.12500000 1497671.00000000 1724.21533203   51324.57812500  36150.94140625  
0.33700    978239.87500000 580033.87500000 1487660.62500000 1711.99255371   51413.60546875  36235.55859375  
0.33800    973670.43750000 575659.56250000 1478530.00000000 1699.68139648   51497.53515625  36316.73437500  
0.33900    969596.00000000 571589.87500000 1470218.25000000 1687.29907227   51576.46093750  36392.92968750  
0.34000    966056.06250000 567839.43750000 1462660.62500000 1674.85034180   51652.04296875  36465.67187500  
0.34100    962983.18750000 564383.87500000 1455898.50000000 1662.35009766   51722.30078125  36535.32421875  
0.34200    960456.25000000 561272.25000000 1449964.12500000 1649.82592773   51790.35546875  36601.16796875  
0.34300    958289.00000000 558371.87500000 1444593.12500000 1637.21679688   51850.87500000  36660.63671875  
0.34400    956627.68750000 555776.31250000 1439998.12500000 1624.60083008   51907.73828125  36717.12890625  
0.34500    955314.50000000 553398.31250000 1435967.87500000 1611.93371582   51959.61718750  36768.33593750  
0.34600    954475.75000000 551304.37500000 1432641.37500000 1599.28332520   52008.90625000  36816.96875000  
0.34700    953880.37500000 549361.18750000 1429728.62500000 1586.59069824   52049.79687500  36858.41796875  
0.34800    953686.00000000 547652.87500000 1427379.75000000 1573.89172363   52086.04296875  36895.74218750  
0.34900    953843.93750000 546149.93750000 1425597.25000000 1561.20056152   52118.73437500  36929.04687500  
0.35000    954267.31250000 544808.81250000 1424218.12500000 1548.54077148   52145.19531250  36956.91796875  
0.35100    955045.81250000 543687.06250000 1423414.37500000 1535.91320801   52170.49609375  36982.03125000  
0.35200    956027.68750000 542663.93750000 1422833.87500000 1523.28515625   52188.14843750  37000.99609375  
0.35300    957258.68750000 541798.00000000 1422677.87500000 1510.70483398   52201.96484375  37015.44531250  
0.35400    958769.06250000 541105.75000000 1422948.87500000 1498.21252441   52213.46875000  37027.96875000  
0.35500    960475.43750000 540509.81250000 1423522.00000000 1485.75634766   52220.20312500  37035.48046875  
0.35600    962395.81250000 540025.68750000 1424369.12500000 1473.37780762   52223.43359375  37039.53515625  
0.35700    964512.56250000 539670.75000000 1425539.62500000 1461.08715820   52224.80078125  37040.98437500  
0.35800    966818.18750000 539429.18750000 1426997.62500000 1448.91223145   52222.91796875  37039.72656250  
0.35900    969288.50000000 539264.25000000 1428665.62500000 1436.81970215   52218.73046875  37035.62109375  
0.36000    971964.00000000 539216.62500000 1430637.25000000 1424.89440918   52214.42578125  37030.33593750  
0.36100    974675.00000000 539190.50000000 1432695.25000000 1413.05786133   52206.21484375  37021.62500000  
0.36200    977668.37500000 539332.81250000 1435145.62500000 1401.39807129   52200.83593750  37015.10546875  
0.36300    980638.18750000 539442.56250000 1437540.37500000 1389.85815430   52190.58984375  37002.95312500  
0.36400    983728.68750000 539635.81250000 1440143.25000000 1378.49511719   52180.49609375  36991.11328125  
0.36500    986914.00000000 539863.31250000 1442837.12500000 1367.29895020   52170.10937500  36979.47265625  
0.36600    990298.37500000 540219.00000000 1445865.25000000 1356.33923340   52164.78906250  36970.08203125  
0.36700    993630.31250000 540534.75000000 1448795.12500000 1345.51098633   52154.97656250  36957.36718750  
0.36800    997185.43750000 540984.06250000 1452053.12500000 1334.95422363   52151.93750000  36949.91015625  
0.36900    1000774.93750000 541451.87500000 1455362.37500000 1324.59558105   52149.51953125  36943.00390625  
0.37000    1004304.25000000 541884.12500000 1458561.75000000 1314.43054199   52145.25781250  36934.22656250  
0.37100    1007959.75000000 542383.00000000 1461954.25000000 1304.51403809   52145.68750000  36929.06640625  
0.37200    1011708.75000000 542963.43750000 1465556.25000000 1294.87585449   52151.85156250  36928.60937500  
0.37300    1015446.12500000 543530.18750000 1469078.50000000 1285.45776367   52157.85156250  36928.30468750  
0.37400    1019300.75000000 544163.93750000 1472787.00000000 1276.32775879   52170.50781250  36933.42578125  
0.37500    1023188.75000000 544829.31250000 1476548.37500000 1267.47277832   52187.94140625  36942.30078125  
0.37600    1027085.75000000 545518.25000000 1480345.75000000 1258.88330078   52208.04687500  36954.15625000  
0.37700    1030980.56250000 546202.31250000 1484140.62500000 1250.55590820   52231.64062500  36968.69531250  
0.37800    1034957.18750000 546941.87500000 1488071.37500000 1242.54199219   52261.69140625  36989.58203125  
0.37900    1038989.37500000 547742.18750000 1492114.62500000 1234.80456543   52298.37500000  37015.39453125  
0.38000    1043000.12500000 548537.68750000 1496127.00000000 1227.38232422   52338.04296875  37045.12500000  
0.38100    1046993.06250000 549342.62500000 1500143.00000000 1220.21838379   52382.43359375  37078.35546875  
0.38200    1051091.62500000 550223.93750000 1504329.87500000 1213.39294434   52434.22265625  37118.89062500  
0.38300    1055133.87500000 551074.50000000 1508449.50000000 1206.83471680   52489.68750000  37162.92578125  
0.38400    1059261.00000000 552010.12500000 1512701.25000000 1200.59667969   52551.83984375  37213.63281250  
0.38500    1063290.12500000 552927.68750000 1516880.87500000 1194.65295410   52617.76953125  37267.29296875  
0.38600    1067460.87500000 553931.25000000 1521279.62500000 1189.01159668   52691.68359375  37328.69921875  
0.38700    1071541.12500000 554899.81250000 1525529.12500000 1183.66149902   52767.96484375  37392.97656250  
0.38800    1075648.62500000 555916.68750000 1529917.75000000 1178.61767578   52850.88671875  37462.98828125  
0.38900    1079720.12500000 556949.75000000 1534269.37500000 1173.82434082   52936.43750000  37537.71875000  
0.39000    1083865.50000000 558049.18750000 1538755.50000000 1169.35473633   53029.19531250  37618.17187500  
0.39100    1087953.00000000 559146.25000000 1543205.87500000 1165.14257812   53125.14062500  37702.77343750  
0.39200    1092044.37500000 560278.68750000 1547680.25000000 1161.21569824   53225.39843750  37790.82812500  
0.39300    1096119.00000000 561417.68750000 1552160.12500000 1157.53564453   53328.42578125  37883.26562500  
0.39400    1100211.25000000 562604.62500000 1556728.37500000 1154.14550781   53435.56250000  37979.60937500  
0.39500    1104194.25000000 563774.75000000 1561175.62500000 1150.95336914   53542.52734375  38077.58203125  
0.39600    1108159.25000000 564963.87500000 1565662.62500000 1148.02185059   53653.40625000  38179.50781250  
0.39700    1112092.87500000 566165.81250000 1570116.12500000 1145.31713867   53764.71875000  38283.71875000  
0.39800    1116022.37500000 567410.43750000 1574609.12500000 1142.83251953   53877.94531250  38389.71093750  
0.39900    1119864.50000000 568629.87500000 1579032.87500000 1140.54211426   53991.05078125  38497.07812500  
0.40000    1123639.75000000 569863.31250000 1583389.25000000 1138.43945312   54103.27734375  38605.10156250  
0.40100    1127331.62500000 571071.68750000 1587674.25000000 1136.52087402   54213.40234375  38712.57031250  
0.40200    1130995.25000000 572301.12500000 1591975.50000000 1134.77587891   54323.36718750  38820.67578125  
0.40300    1134502.37500000 573496.50000000 1596103.25000000 1133.15429688   54428.93359375  38926.87890625  
0.40400    1137992.25000000 574708.06250000 1600216.50000000 1131.71582031   54533.11328125  39033.17968750  
0.40500    1141357.00000000 575888.37500000 1604209.75000000 1130.38427734   54633.02343750  39136.45312500  
0.40600    1144669.87500000 577071.93750000 1608182.37500000 1129.17858887   54729.50390625  39238.82031250  
0.40700    1147806.12500000 578200.62500000 1611934.37500000 1128.06530762   54818.36328125  39336.07031250  
0.40800    1150794.25000000 579286.62500000 1615528.50000000 1127.02062988   54900.76171875  39429.33203125  
0.40900    1153666.75000000 580331.93750000 1618990.50000000 1126.05676270   54976.59765625  39517.69140625  
0.41000    1156448.12500000 581356.31250000 1622348.50000000 1125.15722656   55046.61328125  39602.53125000  
0.41100    1159032.87500000 582335.31250000 1625485.50000000 1124.30944824   55106.94140625  39681.08203125  
0.41200    1161422.62500000 583212.50000000 1628346.87500000 1123.46948242   55156.58203125  39751.15234375  
0.41300    1163689.25000000 584072.87500000 1631113.62500000 1122.65612793   55197.89843750  39816.62890625  
0.41400    1165755.37500000 584831.37500000 1633563.87500000 1121.85241699   55227.76953125  39872.85546875  
0.41500    1167679.50000000 585556.56250000 1635874.62500000 1121.04968262   55248.82031250  39923.17968750  
0.41600    1169293.25000000 586135.56250000 1637779.25000000 1120.18835449   55254.47656250  39961.34765625  
0.41700    1170805.62500000 586696.56250000 1639560.62500000 1119.32641602   55251.17578125  39993.47265625  
0.41800    1172123.50000000 587173.31250000 1641105.75000000 1118.43847656   55234.87500000  40016.41796875  
0.41900    1173070.00000000 587471.37500000 1642129.75000000 1117.45178223   55201.38671875  40025.51562500  
0.42000    1173899.37500000 587732.68750000 1643020.37500000 1116.44067383   55157.30468750  40026.78906250  
0.42100    1174518.75000000 587907.68750000 1643620.00000000 1115.36218262   55099.61328125  40017.57812500  
0.42200    1174845.75000000 587950.56250000 1643844.00000000 1114.18591309   55026.00000000  39996.25390625  
0.42300    1174903.12500000 587860.06250000 1643687.50000000 1112.93566895   54936.47656250  39963.04687500  
0.42400    1174706.87500000 587649.62500000 1643206.25000000 1111.56945801   54832.37500000  39918.35546875  
0.42500    1174259.00000000 587328.00000000 1642354.50000000 1110.10839844   54713.10937500  39861.79687500  
0.42600    1173514.12500000 586856.56250000 1641108.62500000 1108.53930664   54577.13671875  39792.16015625  
0.42700    1172569.12500000 586300.75000000 1639583.87500000 1106.87927246   54426.73046875  39711.51171875  
0.42800    1171284.50000000 585576.25000000 1637582.25000000 1105.08972168   54259.69531250  39616.75000000  
0.42900    1169803.00000000 584759.31250000 1635333.87500000 1103.19873047   54078.58593750  39511.87500000  
0.43000    1167993.12500000 583786.50000000 1632616.87500000 1101.17272949   53880.13281250  39393.57031250  
0.43100    1165844.12500000 582630.87500000 1629405.37500000 1099.00964355   53664.62109375  39261.05078125  
0.43200    1163511.37500000 581397.62500000 1625939.50000000 1096.74511719   53436.20312500  39118.50781250  
0.43300    1160834.87500000 579989.00000000 1622020.50000000 1094.34472656   53190.64843750  38962.14453125  
0.43400    1157888.50000000 578435.31250000 1617685.12500000 1091.82421875   52929.66406250  38793.35937500  
0.43500    1154656.50000000 576752.56250000 1612965.87500000 1089.16406250   52654.77343750  38613.75390625  
0.43600    1151241.75000000 574982.87500000 1608002.12500000 1086.42077637   52367.64843750  38423.88671875  
0.43700    1147466.87500000 573011.62500000 1602521.62500000 1083.54455566   52063.90234375  38221.01171875  
0.43800    1143394.87500000 570892.81250000 1596603.87500000 1080.52246094   51746.12500000  38006.59375000  
0.43900    1139120.50000000 568670.18750000 1590385.50000000 1077.41540527   51415.90625000  37782.40625000  
0.44000    1134566.75000000 566313.62500000 1583805.62500000 1074.18652344   51074.00781250  37548.19921875  
0.44100    1129764.37500000 563825.56250000 1576841.00000000 1070.86511230   50719.54296875  37303.95703125  
0.44200    1124744.37500000 561223.25000000 1569593.37500000 1067.43933105   50354.60546875  37051.40625000  
0.44300    1119462.50000000 558498.18750000 1561973.87500000 1063.92993164   49979.09375000  36789.75781250  
0.44400    1113972.75000000 555663.25000000 1554048.12500000 1060.32946777   49594.04687500  36520.29687500  
0.44500    1108175.50000000 552663.93750000 1545673.00000000 1056.62304688   49196.92187500  36240.88281250  
0.44600    1102204.75000000 549572.37500000 1537078.87500000 1052.83959961   48792.79687500  35954.96875000  
0.44700    1096077.87500000 546414.25000000 1528245.62500000 1049.00317383   48382.01562500  35664.07421875  
0.44800    1089713.75000000 543111.75000000 1519045.25000000 1045.09680176   47962.43359375  35365.82812500  
0.44900    1083207.25000000 539766.56250000 1509701.87500000 1041.14318848   47538.42187500  35063.70703125  
0.45000    1076552.12500000 536333.50000000 1500132.75000000 1037.15563965   47110.54687500  34757.54296875  
0.45100    1069642.50000000 532762.06250000 1490185.62500000 1033.08618164   46674.19921875  34444.51953125  
0.45200    1062651.75000000 529162.25000000 1480120.12500000 1028.99218750   46235.97265625  34129.88671875  
0.45300    1055506.75000000 525471.25000000 1469852.62500000 1024.88549805   45794.94140625  33812.36328125  
0.45400    1048238.62500000 521737.90625000 1459429.00000000 1020.74249268   45351.46484375  33492.27343750  
0.45500    1040895.87500000 517951.62500000 1448863.62500000 1016.60314941   44907.93359375  33171.57812500  
0.45600    1033402.56250000 514090.62500000 1438098.25000000 1012.42437744   44461.33593750  32848.27343750  
0.45700    1025846.50000000 510221.31250000 1427282.75000000 1008.26269531   44016.81250000  32526.58007812  
0.45800    1018213.50000000 506296.28125000 1416327.00000000 1004.11083984   43573.51953125  32204.91992188  
0.45900    1010486.00000000 502337.62500000 1405273.37500000 999.98315430    43131.26562500  31883.27734375  
0.46000    1002823.18750000 498415.43750000 1394283.62500000 995.86614990    42693.86718750  31565.24414062  
0.46100    994966.25000000 494390.96875000 1383038.25000000 991.73687744    42255.23046875  31246.16015625  
0.46200    987199.37500000 490425.68750000 1371934.12500000 987.68090820    41823.37890625  30931.96875000  
0.46300    979386.43750000 486437.75000000 1360764.00000000 983.65222168    41396.38671875  30620.67578125  
0.46400    971554.50000000 482448.56250000 1349596.62500000 979.65228271    40973.73046875  30312.48828125  
0.46500    963780.81250000 478496.18750000 1338521.25000000 975.71832275    40557.73828125  30009.41992188  
0.46600    955991.75000000 474536.81250000 1327401.00000000 971.81518555    40146.88671875  29709.79492188  
0.46700    948214.31250000 470587.06250000 1316296.00000000 967.96826172    39742.51171875  29415.12109375  
0.46800    940556.68750000 466714.56250000 1305429.00000000 964.19903564    39347.38281250  29126.74023438  
0.46900    932891.93750000 462840.46875000 1294510.87500000 960.47943115    38959.15234375  28843.59375000  
0.47000    925279.81250000 458997.50000000 1283710.00000000 956.82263184    38578.01171875  28566.19921875  
0.47100    917781.43750000 455226.34375000 1273065.75000000 953.25006104    38206.94531250  28295.77539062  
0.47200    910350.50000000 451489.56250000 1262513.62500000 949.72985840    37844.87890625  28031.72070312  
0.47300    903040.62500000 447826.84375000 1252154.00000000 946.30603027    37492.39062500  27775.23437500  
0.47400    895757.81250000 444171.43750000 1241834.87500000 942.93701172    37146.98828125  27524.30078125  
0.47500    888616.75000000 440610.09375000 1231738.75000000 939.65972900    36813.80078125  27281.84570312  
0.47600    881641.75000000 437142.43750000 1221905.62500000 936.47595215    36491.33203125  27047.75000000  
0.47700    874668.25000000 433661.06250000 1212039.25000000 933.34735107    36175.55859375  26818.64843750  
0.47800    867896.43750000 430296.81250000 1202465.37500000 930.31396484    35873.23828125  26599.00000000  
0.47900    861267.87500000 427028.56250000 1193145.25000000 927.37652588    35580.90234375  26387.55468750  
0.48000    854706.43750000 423779.37500000 1183896.87500000 924.51336670    35297.62109375  26182.25195312  
0.48100    848390.31250000 420665.87500000 1175012.00000000 921.75286865    35027.05859375  25986.85742188  
0.48200    842062.93750000 417544.25000000 1166102.00000000 919.03552246    34762.71484375  25796.24414062  
0.48300    835934.00000000 414527.68750000 1157479.87500000 916.42504883    34511.05078125  25614.31445312  
0.48400    829982.25000000 411606.34375000 1149117.25000000 913.89117432    34270.28125000  25440.82226562  
0.48500    824156.43750000 408753.28125000 1140932.37500000 911.45227051    34038.89062500  25274.34960938  
0.48600    818498.00000000 405988.46875000 1133007.75000000 909.10125732    33818.90625000  25116.08593750  
0.48700    812965.93750000 403286.21875000 1125256.75000000 906.82611084    33608.02343750  24964.44921875  
0.48800    807533.37500000 400624.28125000 1117609.25000000 904.60681152    33404.98046875  24818.49023438  
0.48900    802282.68750000 398054.59375000 1110219.62500000 902.48382568    33212.37890625  24680.17773438  
0.49000    797190.06250000 395577.21875000 1103075.62500000 900.43493652    33029.90234375  24549.72460938  
0.49100    792262.87500000 393183.68750000 1096165.87500000 898.47412109    32857.43359375  24425.91992188  
0.49200    787430.37500000 390814.40625000 1089362.62500000 896.56311035    32691.46289062  24307.18164062  
0.49300    782755.56250000 388537.78125000 1082806.00000000 894.73693848    32535.35742188  24195.09960938  
0.49400    778215.68750000 386313.56250000 1076394.75000000 892.97155762    32386.90234375  24088.49609375  
0.49500    773797.31250000 384149.96875000 1070155.87500000 891.26458740    32246.21484375  23987.50000000  
0.49600    769563.00000000 382078.37500000 1064193.25000000 889.64227295    32115.17578125  23893.29492188  
0.49700    765385.25000000 380017.25000000 1058277.12500000 888.04583740    31988.49804688  23801.67968750  
0.49800    761395.62500000 378054.71875000 1052624.12500000 886.54412842    31871.53906250  23717.19921875  
0.49900    757458.75000000 376091.96875000 1047014.00000000 885.05712891    31758.26953125  23635.05859375  
0.50000    753685.93750000 374216.40625000 1041635.75000000 883.64135742    31653.72656250  23558.31640625  
