# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1520008964
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale,boltzman_shift
-2.77214e+109,0,1.99502e-10,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.72987e-11,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.58747e-12,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.54049e-13,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.57858e-14,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.70518e-15,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.93794e-16,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,2.31266e-17,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,2.89206e-18,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,3.78234e-19,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,5.16332e-20,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,7.34345e-21,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.08616e-21,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
-2.77214e+109,0,1.66789e-22,0,1,1,2.77214e+109,0.0627389,0.139718,0.254585,0.542958,2.70673,2.11422
