# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1332303752
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,scale,boltzman_shift
-4.71601e+106,0,3.37435e-40,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,9.64454e-41,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.79304e-41,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,8.19252e-42,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.43306e-42,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,7.31369e-43,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.2245e-43,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,6.84391e-44,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.12925e-44,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,6.69692e-45,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.12879e-45,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,6.8373e-46,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.21831e-46,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,7.26846e-47,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.40459e-47,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,8.03011e-48,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,2.70639e-48,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,9.20358e-49,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,3.15743e-49,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,1.09254e-49,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
-4.71601e+106,0,3.81225e-50,0,1,1,4.71601e+106,0.106267,0.409868,0.253893,0.0176141,0.13972,0.0726383,0.159861,5.9027
