# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=245980141
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-381.262,0.999731,0.012756,9,511,0,381.725,0.0962376,0.456697,0.175077,0.271988,0.903142
-380.97,0.995375,0.0238568,7,255,0,381.626,0.0922791,0.483002,0.158357,0.266362,0.900547
-382.76,0.840214,0.0443899,5,63,0,383.504,0.107946,0.492676,0.150196,0.249182,0.900709
-383.482,0.735447,0.0508001,5,31,0,383.847,0.120761,0.452487,0.147531,0.279221,0.901164
-384.065,0.976922,0.0419728,6,95,0,387.553,0.116827,0.449427,0.151905,0.281841,0.900216
-384.065,0.000338177,0.0739967,1,3,0,386.174,0.116827,0.449427,0.151905,0.281841,0.900216
-381.576,0.998996,0.00629911,8,255,0,385.411,0.137581,0.46194,0.140387,0.260091,0.902031
-381.442,0.992672,0.0120036,7,215,0,382.705,0.128009,0.476199,0.131227,0.264565,0.898785
-381.18,0.991428,0.0222781,4,19,0,381.745,0.127598,0.476416,0.13141,0.264576,0.899342
-381.521,0.907197,0.0408669,7,127,0,382.164,0.104238,0.463092,0.174328,0.258342,0.90472
-380.728,0.472843,0.0576976,5,63,0,382.665,0.11765,0.459506,0.164072,0.258771,0.90389
-382.424,0.999746,0.0222021,6,63,0,382.827,0.127995,0.477165,0.154959,0.23988,0.903947
-386.452,0.527482,0.0412408,6,95,0,389.121,0.0535723,0.508967,0.130236,0.307225,0.890461
-381.43,0.995263,0.0189976,7,195,0,387.5,0.112293,0.464437,0.145622,0.277648,0.899572
-381.683,0.883112,0.0345494,5,63,0,382.143,0.110029,0.464531,0.146501,0.278939,0.899318
-381.493,0.451576,0.0450342,6,89,0,385.48,0.0763433,0.48034,0.175401,0.267915,0.902007
-380.854,0.999808,0.0170337,7,215,0,382.347,0.122914,0.464493,0.150852,0.261741,0.901766
-381.681,0.861872,0.0309608,6,75,0,383.479,0.0916592,0.506075,0.131617,0.270648,0.895673
-381.615,0.989798,0.0378196,7,127,0,384.008,0.104326,0.445773,0.18928,0.26062,0.906983
-381.478,0.372418,0.0657534,1,3,0,381.948,0.104998,0.445652,0.190087,0.259264,0.907122
-381.282,0.985456,0.0205896,7,255,0,385.305,0.15393,0.445806,0.136606,0.263659,0.902148
-381.44,0.94032,0.0352302,7,127,0,382.426,0.139358,0.426349,0.17194,0.262353,0.906769
-382.132,0.803698,0.0528552,6,79,0,382.874,0.0955509,0.502439,0.142318,0.259692,0.898693
-380.955,0.287825,0.0545174,5,53,0,383.023,0.112355,0.469752,0.145583,0.27231,0.899797
-381.73,0.826172,0.0141625,5,47,0,389.458,0.111316,0.481481,0.142144,0.265059,0.89991
-381.358,0.996736,0.0156604,7,143,0,383.226,0.152767,0.45609,0.127212,0.26393,0.9007
-382.707,0.881488,0.0270714,7,163,0,385.537,0.14227,0.492844,0.101341,0.263545,0.895219
-382.296,0.9956,0.0343458,5,63,0,382.956,0.140781,0.492344,0.108511,0.258365,0.896503
-383.627,0.0243389,0.0583273,5,43,1,386.831,0.140912,0.492879,0.106553,0.259656,0.895815
-382.496,0.998721,0.00810712,4,15,0,384.179,0.139559,0.49346,0.105706,0.261275,0.896407
-383.156,0.999999,0.0139159,6,119,0,384.027,0.135228,0.509735,0.092151,0.262887,0.893571
-383.984,0.999337,0.023767,5,63,0,384.504,0.126553,0.49732,0.0914668,0.284659,0.891884
-381.932,0.912218,0.0401984,7,127,0,385.79,0.199307,0.419215,0.141386,0.240092,0.907708
-381.38,0.189441,0.0542922,6,63,0,384.995,0.110016,0.443534,0.188006,0.258444,0.906996
-381.13,1,0.0122065,8,255,0,381.508,0.10352,0.45181,0.182753,0.261918,0.90558
-381.315,0.977776,0.0205368,8,255,0,381.952,0.170616,0.435875,0.14353,0.249979,0.905111
-380.953,0.883766,0.0324842,6,127,0,382.388,0.0986575,0.485215,0.144149,0.271979,0.898423
-385.4,0.708732,0.0406513,6,77,0,386.235,0.186474,0.484746,0.0731803,0.2556,0.895487
-384.341,0.999502,0.0332833,6,127,0,388.833,0.085873,0.52754,0.101042,0.285545,0.889487
-381.499,0.653749,0.0547285,6,127,0,385.167,0.136617,0.481906,0.124337,0.257141,0.899251
-381.39,0.99989,0.0393483,7,127,0,381.883,0.109824,0.448613,0.187167,0.254395,0.907176
-381.39,0.0684667,0.0642455,1,3,0,382.289,0.109824,0.448613,0.187167,0.254395,0.907176
